UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2013,29,4237543,2138997,2098546,1632146,1560307,282886,301329,31410,28574,137926,150170,6973,6275,47656,51891,1673274,1605210,300392,321509,48185,46495,157278,171113,12297,11790,1685370,1689026,1232173,1201463,262276,280269,16434,16352,133362,145937,4950,4629,36175,40376,1263203,1236276,274996,295432,27645,28912,149731,163711,9152,9013,453627,409520,399973,358844,20610,21060,14976,12222,4564,4233,2023,1646,11481,11515,410071,368934,25396,26077,20540,17583,7547,7402,3145,2777
P,7,2013,30,4307666,2169074,2138592,1658537,1590332,285138,306614,31926,29126,138451,154072,7010,6440,48012,52008,1700082,1635198,302631,326752,48873,47441,157830,174866,12326,11976,1707443,1719320,1250928,1223507,264521,284412,16577,16582,133924,149701,5000,4770,36493,40348,1282283,1258156,277152,299490,28036,29370,150287,167387,9190,9160,461631,419272,407609,366825,20617,22202,15349,12544,4527,4371,2010,1670,11519,11660,417799,377042,25479,27262,20837,18071,7543,7479,3136,2816
P,7,2013,31,4308989,2164826,2144163,1657530,1594883,283690,307904,31252,28460,138666,155754,7014,6360,46674,50802,1697836,1638610,300565,327803,48157,46652,157301,175729,12292,11782,1703323,1720885,1249954,1223555,262977,286010,16176,15910,134106,151261,4997,4647,35113,39502,1280034,1257405,275062,300977,27476,28728,149694,168217,9150,8977,461503,423278,407576,371328,20713,21894,15076,12550,4560,4493,2017,1713,11561,11300,417802,381205,25503,26826,20681,17924,7607,7512,3142,2805
P,7,2013,32,4264248,2138658,2125590,1642283,1583559,280436,306509,30421,28437,132789,151272,6771,5988,45958,49825,1681789,1626561,297085,326136,47167,46282,151118,170629,11958,11280,1684418,1706335,1240663,1215733,260339,284750,15629,16085,128212,146892,4802,4355,34773,38520,1270348,1248782,272317,299354,26922,28580,143662,163356,8891,8616,454240,419255,401620,367826,20097,21759,14792,12352,4577,4380,1969,1633,11185,11305,411441,377779,24768,26782,20245,17702,7456,7273,3067,2664
P,7,2013,33,4351532,2190485,2161047,1676480,1603681,293355,318346,31406,28788,136577,154230,7046,6266,45621,49736,1715762,1646486,309842,337851,48517,46845,154481,173548,12234,11639,1718581,1732632,1259483,1227383,272348,296231,16045,16239,131847,149808,4911,4626,33947,38345,1288460,1260145,283967,310677,27465,28958,146698,166142,8997,8921,471904,428415,416997,376298,21007,22115,15361,12549,4730,4422,2135,1640,11674,11391,427302,386341,25875,27174,21052,17887,7783,7406,3237,2718
P,7,2013,34,4083019,2045710,2037309,1567827,1512529,270922,298854,28879,26587,129945,147572,6201,5698,41936,46069,1603904,1552090,285976,316685,44580,43495,146402,165512,10982,10613,1615098,1636309,1186549,1160600,251943,278060,15071,14799,125736,143431,4361,4151,31438,35268,1213343,1190697,262627,291040,25587,26596,139565,158608,8128,8086,430612,401000,381278,351929,18979,20794,13808,11788,4209,4141,1840,1547,10498,10801,390561,361393,23349,25645,18993,16899,6837,6904,2854,2527
P,7,2013,35,4004135,2003819,2000316,1541632,1491509,260945,288426,28055,26488,126698,143956,5992,5449,40497,44488,1576331,1529536,275224,305483,43413,43171,142822,161334,10406,10097,1575875,1600347,1161704,1139447,242639,268444,14493,14722,122584,139749,4295,4012,30160,33973,1187247,1168249,252684,280789,24772,26386,136043,154480,7769,7751,427944,399969,379928,352062,18306,19982,13562,11766,4114,4207,1697,1437,10337,10515,389084,361287,22540,24694,18641,16785,6779,6854,2637,2346
P,7,2013,36,3964997,1978164,1986833,1522182,1480670,256392,286251,28060,26220,126726,145113,5894,5478,38910,43101,1555627,1517417,270006,302515,43111,42628,142007,162004,10197,10131,1557141,1587136,1148125,1127839,238753,266499,14701,14899,122481,141027,4157,3978,28924,32894,1172709,1155652,248167,278267,24879,26428,135209,155232,7520,7672,421023,399697,374057,352831,17639,19752,13359,11321,4245,4086,1737,1500,9986,10207,382918,361765,21839,24248,18232,16200,6798,6772,2677,2459
P,7,2013,37,3849555,1920896,1928659,1475601,1437784,246776,275051,27058,25303,128633,144980,5458,5175,37370,40366,1507702,1472105,259469,290088,41601,40915,143508,160891,9674,9469,1507926,1535079,1107879,1089447,229748,255895,13992,14067,124609,140952,3916,3787,27782,30931,1131471,1115516,238439,266784,23807,25123,137107,154413,7241,7236,412970,393580,367722,348337,17028,19156,13066,11236,4024,4028,1542,1388,9588,9435,376231,356589,21030,23304,17794,15792,6401,6478,2433,2233
P,7,2013,38,3970957,1984451,1986506,1528361,1484741,253728,282397,27148,25761,133954,149409,5654,4992,35606,39206,1558620,1518016,265709,296669,41291,41029,148136,165003,9694,9082,1567225,1590073,1154877,1132030,237289,264154,14057,14460,129962,145499,4095,3687,26945,30243,1177518,1157439,245773,274474,23746,25299,142050,158881,7348,6980,417226,396433,373484,352711,16439,18243,13091,11301,3992,3910,1559,1305,8661,8963,381102,360577,19936,22195,17545,15730,6086,6122,2346,2102
P,7,2013,39,3848556,1915008,1933548,1475370,1445293,243396,274033,26374,24796,130925,147069,5084,4907,33859,37450,1504141,1476870,254684,287605,39991,39632,144412,161921,8934,8916,1518301,1550457,1119473,1103507,228239,256650,13734,14111,127326,143380,3711,3630,25818,29179,1141189,1127849,236203,266658,23237,24849,138879,156166,6835,6873,396707,383091,355897,341786,15157,17383,12640,10685,3599,3689,1373,1277,8041,8271,362952,349021,18481,20947,16754,14783,5533,5755,2099,2043
P,7,2013,40,3909959,1939261,1970698,1492567,1472016,250680,282871,26018,25154,131341,148789,5071,4836,33584,37032,1521013,1503207,261550,296176,39740,40082,144790,163463,8844,8741,1550109,1590839,1143118,1132970,235855,265831,13869,14453,127784,145015,3734,3623,25749,28947,1164689,1157081,243535,275655,23544,25403,139403,157657,6791,6797,389152,379859,349449,339046,14825,17040,12149,10701,3557,3774,1337,1213,7835,8085,356324,346126,18015,20521,16196,14679,5387,5806,2053,1944
P,7,2013,41,4088909,2030730,2058179,1574876,1550122,259911,292275,26473,25164,130977,148788,5013,4796,33480,37034,1603095,1581286,270575,305277,40600,40628,144155,163163,8816,8753,1644955,1682021,1228120,1213970,245356,275548,14409,14720,127376,145187,3686,3558,26008,29038,1249771,1238139,253074,285100,24655,26163,138763,157673,6780,6795,385775,376158,346756,336152,14555,16727,12064,10444,3601,3601,1327,1238,7472,7996,353324,343147,17501,20177,15945,14465,5392,5490,2036,1958
P,7,2013,42,4326331,2147338,2178993,1683080,1658813,269848,305765,26898,26063,128183,145541,5002,4862,34327,37949,1712100,1690755,280679,318945,41701,42253,141478,159929,9003,9097,1764044,1804521,1338523,1324564,255363,288954,15066,15363,124553,141956,3665,3640,26874,30044,1361021,1349603,263182,298764,25981,27607,136056,154378,6925,7137,383294,374472,344557,334249,14485,16811,11832,10700,3630,3585,1337,1222,7453,7905,351079,341152,17497,20181,15720,14646,5422,5551,2078,1960
P,7,2013,43,4383207,2184118,2199089,1716177,1682044,273029,303143,27010,25857,129005,146230,5135,4966,33762,36849,1744667,1712841,283613,315808,41764,41946,141804,160202,9185,9177,1798313,1830277,1369589,1352309,258293,286948,14900,15593,125414,142550,3819,3771,26298,29106,1391514,1376395,265922,296369,25757,27724,136423,154534,7167,7247,385805,368812,346588,329735,14736,16195,12110,10264,3591,3680,1316,1195,7464,7743,353153,336446,17691,19439,16007,14222,5381,5668,2018,1930
P,7,2013,44,4156033,2066810,2089223,1631496,1606896,252657,281914,25584,24499,121251,137342,4656,4600,31166,33972,1657860,1635330,262015,293203,39701,39841,133008,150018,8272,8392,1707858,1744367,1308462,1298594,239089,266719,14575,14814,118017,133946,3484,3454,24231,26840,1328758,1320839,245692,274961,25006,26475,128164,144927,6456,6590,358952,344856,323034,308302,13568,15195,11009,9685,3234,3396,1172,1146,6935,7132,329102,314491,16323,18242,14695,13366,4844,5091,1816,1802
